Component, GAV, License, URL, Scope, Path
Abdera Core,org.apache.abdera:abdera-core:bundle:1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.streams:streams-aggregator-plugin:5.4.9/META-INF/maven/org.apache.abdera/abdera-core
Abdera Extensions - Main,org.apache.abdera:abdera-extensions-main:bundle:1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.streams:streams-aggregator-plugin:5.4.9/META-INF/maven/org.apache.abdera/abdera-extensions-main
Abdera Parser,org.apache.abdera:abdera-parser:bundle:1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.streams:streams-aggregator-plugin:5.4.9/META-INF/maven/org.apache.abdera/abdera-parser
activation,javax.activation:activation:jar:1.1.1,Common Development and Distribution License 1.0,,binary,
Active Objects - Builder,net.java.dev.activeobjects:activeobjects-builder:jar:0.25.12,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.activeobjects:activeobjects-plugin:0.23.12/META-INF/maven/net.java.dev.activeobjects/activeobjects-builder
Active Objects - Core,net.java.dev.activeobjects:activeobjects-core:jar:0.25.12,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.activeobjects:activeobjects-plugin:0.23.12/META-INF/maven/net.java.dev.activeobjects/activeobjects-core
Active Objects - The library,net.java.dev.activeobjects:activeobjects:jar:0.25.12,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
ActiveObjects Plugin - API,com.atlassian.activeobjects:activeobjects-core:jar:0.23.12,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
ActiveObjects Plugin - JIRA SPI implementation,com.atlassian.activeobjects:activeobjects-jira-spi:bundle:0.23.12,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
ActiveObjects Plugin - OSGi Bundle,com.atlassian.activeobjects:activeobjects-plugin:atlassian-plugin:0.23.12,Apache 2,https://studio.atlassian.com/browse/AO/activeobjects-plugin,binary,
ActiveObjects Plugin - SPI,com.atlassian.activeobjects:activeobjects-spi:jar:0.23.12,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
ajaxHooks,Unspecified,MIT License,https://github.com/jaubourg/ajaxHooks,binary,
almond,0.2.5,MIT License,https://github.com/jrburke/almond/,binary,
ant,ant:ant:jar:1.5.3-1,Apache License 1.1,,binary,
ant-junit,org.apache.ant:ant-junit:jar:1.7.1,Apache License 2.0,http://ant.apache.org/ant-junit,binary,
ant-launcher,org.apache.ant:ant-launcher:jar:1.7.1,Apache License 2.0,http://ant.apache.org/ant-launcher,binary,
ANTLR 3 Runtime,org.antlr:antlr-runtime:jar:3.5.2,BSD License,http://www.antlr.org/license.html,binary,
AOP alliance,aopalliance:aopalliance:jar:1.0,Public Domain,http://aopalliance.sourceforge.net,binary,
Apache Avro,org.apache.avro:avro:jar:1.6.1,Apache License 2.0,http://avro.apache.org,binary,
Apache Commons Compress,org.apache.commons:commons-compress:jar:1.8.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons DBCP JMX extensions :: JDBC4,net.ju-n.commons-dbcp-jmx:commons-dbcp-jmx-jdbc4:jar:0.2,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.html,binary,
Apache Commons FileUpload,commons-fileupload:commons-fileupload:jar:1.3.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Felix Bundle Repository,org.apache.felix:org.apache.felix.bundlerepository:bundle:1.4.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Felix Framework,org.apache.felix:org.apache.felix.framework:bundle:3.0.2,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Felix Shell Service,org.apache.felix:org.apache.felix.shell:bundle:1.2.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache HttpClient,org.apache.httpcomponents:httpclient:jar:4.2.6,Apache License 2.0,LICENSE.txt,binary,
Apache HttpCore,org.apache.httpcomponents:httpcore:jar:4.2.5,Apache License 2.0,LICENSE.txt,binary,
Apache JAMES Mime4j,org.apache.james:apache-mime4j:jar:0.6,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.html,binary,
Apache Log4j,log4j:log4j:bundle:1.2.16,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
